Property_Title,Address,Reviewed_Status,Most_Recent_Status,Source,Market,Occupancy,Flood,Street_Address,City,State,Zip,Property_Type,Highway,Train,Tax_Rate,SQFT_Basement,HTW,Pool,Commercial,Water,Sewage,Year_Built,SQFT_MU,SQFT_Total,Parking,Bed,Bath,BasementYesNo,Layout,Net_Yield,IRR,Rent_Restricted,Neighborhood_Rating,Previous_Rent,List_Price,Zestimate,ARV,Expected_Rent,Rent_Zestimate,Low_FMR,High_FMR,HOA,Underwriting_Rehab,Rehab_Calculation,Paint,Flooring_Flag,Foundation_Flag,Roof_Flag,HVAC_Flag,Kitchen_Flag,Bathroom_Flag,Appliances_Flag,Windows_Flag,Landscaping_Flag,Trashout_Flag,Latitude,Longitude,Subdivision,Taxes,Redfin_Value,Selling_Reason,Seller_Retained_Broker,HOA_Flag,Final_Reviewer,School_Average
"3999 Harper Pine Suite 564 Alecfort, FL 84252","3999 Harper Pine Suite 564 Alecfort, FL 84252",Reviewed,Closed,Auction.com,Tampa,Yes,,3999 Harper Pine Suite 564,Alecfort,FL,84252,Townhouse,Near,,3.23,1727,Yes,No,Yes,City,City,1950,2354,6931,,5,2,,Colonial,10.49,16.24,Yes,1,1896,490890,242532,250187,1961,2908,1973,1115,109,99482,49549,Yes,Yes,,,No,Yes,,,Yes,,No,40.199744,-79.377615,Club,8474,150935,,No,,Priya Sharma,4.24
"0289 Jason Glens East Hannahside, MI 72848","0289 Jason Glens East Hannahside, MI 72848",New,Closed,Opendoor,Chicago,,Minimal Flood,0289 Jason Glens,East Hannahside,MI,72848,Condo,Near,Far,3.36,1685,,No,,Well,Septic,1954,1114,9958,Street,4,4,No,,4.62,19.69,No,1,1619,413476,143640,534296,1898,2371,1286,3440,254,5972,11741,Yes,No,,,No,,,No,Yes,No,No,35.770567,-114.520386,Wall,1752,419829,Job Transfer,Yes,Yes,Luis Garcia,6.57
"6430 Davis Road Apt. 872 Lake Allen, AZ 63743","6430 Davis Road Apt. 872 Lake Allen, AZ 63743",Accepted Offer,Pending,MLS,Dallas,No,,6430 Davis Road Apt. 872,Lake Allen,AZ,63743,SFR,Far,,2.59,8,No,Yes,Yes,,City,1957,649,6682,Driveway,5,3,,Colonial,10.11,8.63,,3,2831,280406,291833,270612,2682,2291,1680,2256,116,21262,8925,,,Yes,No,,Yes,Yes,Yes,Yes,No,No,33.461005,-86.26536,Circles,2017,202666,Investor Sale,Yes,,Samantha Pierce,9.92
"7330 Ross Garden Apt. 218 Benjaminborough, OR 16495","7330 Ross Garden Apt. 218 Benjaminborough, OR 16495",Offered,Cancelled,Opendoor,Tampa,Yes,Flood Zone,7330 Ross Garden Apt. 218,Benjaminborough,OR,16495,Townhouse,Near,,2.21,1289,,Yes,,City,Septic,1954,2357,4496,Garage,6,2,,Colonial,9.97,11.42,No,3,2103,411425,445396,263295,3093,1556,1946,1880,406,55011,83008,Yes,Yes,Yes,,,Yes,No,,,No,,40.535071,-109.326753,Pines,8856,401395,Downsizing,,Yes,Luis Garcia,6.87
"7720 Walton Land Suite 957 Scottville, CT 18400","7720 Walton Land Suite 957 Scottville, CT 18400",Cancelled,Cancelled,MLS,Dallas,No,,7720 Walton Land Suite 957,Scottville,CT,18400,Condo,,Far,2.71,1332,Yes,,,,Septic,1977,3328,8207,,5,4,No,,4.28,17.26,,4,2581,94896,133800,90714,1472,3885,1348,3075,331,24971,6436,Yes,Yes,,No,,No,No,Yes,No,No,,37.634264,-96.768919,Squares,5290,307704,Job Transfer,,,Emily Patel,4.76
"064 Richard Port Suite 940 East Jessemouth, NV 90684","064 Richard Port Suite 940 East Jessemouth, NV 90684",Accepted Offer,Cancelled,Bulk,Chicago,No,Minimal Flood,064 Richard Port Suite 940,East Jessemouth,NV,90684,Condo,,,2,458,No,,No,,Septic,1980,2916,9291,,5,1,,Ranch,11.07,15.43,,5,2151,325219,248737,581868,2237,2204,920,1451,363,12798,83003,Yes,Yes,No,,Yes,No,No,,No,,Yes,36.270537,-81.743239,Village,2318,229354,Downsizing,,No,David Thompson,6.21
"5347 Ward Summit Suite 848 North Michaelside, CO 91563","5347 Ward Summit Suite 848 North Michaelside, CO 91563",Accepted Offer,Available,MLS,Tampa,No,Flood Zone,5347 Ward Summit Suite 848,North Michaelside,CO,91563,Condo,,Far,2.78,679,Yes,No,Yes,City,,1991,2076,6074,,5,4,No,Split,4.98,14.03,No,2,2086,109645,464572,394151,3113,1357,1639,2931,123,411,48760,Yes,,Yes,,,,Yes,No,No,No,,34.067122,-89.796416,Via,4515,526616,Downsizing,Yes,Yes,Samantha Pierce,6.59
"410 Elizabeth Parks Apt. 931 West Andreaport, MP 81467","410 Elizabeth Parks Apt. 931 West Andreaport, MP 81467",Accepted Offer,Closed,Internal,Tampa,Yes,Minimal Flood,410 Elizabeth Parks Apt. 931,West Andreaport,MP,81467,SFR,Near,,1.07,835,Yes,No,Yes,,City,1969,1890,7518,Garage,4,4,Yes,Ranch,5.76,10.13,Yes,3,3398,294834,435885,563089,3347,3750,1621,1760,2,69282,40981,Yes,Yes,No,No,No,No,No,No,No,,Yes,38.267128,-81.697885,Hollow,2822,417730,Downsizing,,Yes,Emily Patel,6.07
"083 James Radial Suite 157 Robertmouth, AL 14588","083 James Radial Suite 157 Robertmouth, AL 14588",Accepted Offer,Pending,MLS,Atlanta,No,,083 James Radial Suite 157,Robertmouth,AL,14588,SFR,Near,,1.69,1846,No,Yes,,Well,,2007,697,7607,,5,2,Yes,,5.35,14.95,,3,2949,399442,430962,584091,1119,2357,1949,2670,405,68136,60620,,,No,Yes,Yes,,No,,Yes,Yes,,37.723188,-84.515642,Valley,2050,124417,Downsizing,Yes,No,Sophia Williams,9.57
"426 Case Courts East Rachel, DE 22631","426 Case Courts East Rachel, DE 22631",New,Cancelled,Bulk,Tampa,,Flood Zone,426 Case Courts,East Rachel,DE,22631,Duplex,Far,Near,3.35,1853,,No,Yes,,City,2019,1492,7382,Driveway,1,3,Yes,Ranch,4.82,6.45,Yes,3,1095,333625,141204,301425,2943,2317,1762,3151,357,54449,34434,Yes,No,No,No,,,,,No,Yes,,39.104847,-101.998882,Walk,2552,177501,Investor Sale,No,Yes,Jason Miller,8.81
"14335 Michelle Tunnel Apt. 657 Blakeshire, WA 99276","14335 Michelle Tunnel Apt. 657 Blakeshire, WA 99276",Reviewed,Available,Internal,Florida,Yes,Flood Zone,14335 Michelle Tunnel Apt. 657,Blakeshire,WA,99276,Condo,Near,Near,1.45,1237,No,No,Yes,,,1973,1243,5033,Driveway,6,3,No,Ranch,11.54,19.16,,2,2261,229695,314666,400588,2477,1424,1923,2357,440,85782,29585,Yes,,,No,Yes,,No,Yes,Yes,No,,35.381249,-73.465813,Stravenue,7829,374240,Downsizing,Yes,Yes,Samantha Pierce,3.5
"0902 Ortega Port Lake Jeffery, CT 77507","0902 Ortega Port Lake Jeffery, CT 77507",Offered,Available,Internal,Atlanta,Yes,Minimal Flood,0902 Ortega Port,Lake Jeffery,CT,77507,Condo,Far,Near,1.74,485,,,,Well,City,1997,3121,3666,,3,3,Yes,Ranch,6.95,13.19,No,4,3414,362117,387360,92346,2558,3434,1426,1651,34,78251,29941,No,No,,,,,Yes,Yes,,,Yes,40.641907,-114.247302,Brooks,4977,416538,Job Transfer,No,Yes,Amit Kumar,9.34
"967 Amanda Hollow South Rickchester, ND 10765","967 Amanda Hollow South Rickchester, ND 10765",Reviewed,Pending,MLS,Atlanta,,Minimal Flood,967 Amanda Hollow,South Rickchester,ND,10765,Townhouse,,Far,2.68,1464,,,No,City,Septic,1974,1469,3222,Street,6,2,,Colonial,4.82,7.09,Yes,3,3274,181161,544531,373607,1995,3993,1737,2464,374,90772,26621,Yes,No,,Yes,No,Yes,,Yes,,Yes,Yes,39.74138,-97.685232,Ville,7319,458988,Downsizing,Yes,,Samantha Pierce,5.93
"935 Rodriguez Spring New Kevinmouth, WV 70681","935 Rodriguez Spring New Kevinmouth, WV 70681",Closed,Closed,Opendoor,Tampa,Yes,Minimal Flood,935 Rodriguez Spring,New Kevinmouth,WV,70681,Duplex,,Near,1.31,1832,,,No,City,Septic,2006,3103,8741,,5,3,Yes,Split,4.38,14.56,No,1,1638,254319,126244,460610,1107,2150,814,2057,66,4289,7110,,No,No,No,,,Yes,No,,,No,38.425251,-91.1421,Overpass,3529,108259,Investor Sale,Yes,No,Michael Chen,7.38
"91392 Gonzalez Point North Richardstad, CT 45687","91392 Gonzalez Point North Richardstad, CT 45687",Accepted Offer,Pending,Broker,Florida,Yes,Flood Zone,91392 Gonzalez Point,North Richardstad,CT,45687,Duplex,Far,,3.35,775,No,No,No,City,,1961,710,6080,Driveway,5,4,No,Ranch,7.14,15.8,No,4,2525,437835,487566,539024,2726,2921,1976,1824,163,17582,21000,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,36.28038,-80.032724,Isle,4682,503160,,,No,Sophia Williams,8
"0837 Gray Village Port Derektown, UT 75385","0837 Gray Village Port Derektown, UT 75385",Cancelled,Closed,Bulk,Atlanta,Yes,Minimal Flood,0837 Gray Village,Port Derektown,UT,75385,Townhouse,,,2.66,548,No,No,No,Well,,1988,2954,4304,,6,2,,Ranch,4.97,19.4,,4,1082,422580,252240,221822,1186,2373,709,1593,212,97653,60495,Yes,No,Yes,,Yes,,Yes,No,No,,No,35.372646,-113.90417,Mission,7506,546174,,No,Yes,Jessica Lin,4.57
"0149 Singh Fork Isaacside, NV 55290","0149 Singh Fork Isaacside, NV 55290",Cancelled,Cancelled,Internal,Tampa,No,Minimal Flood,0149 Singh Fork,Isaacside,NV,55290,Condo,Far,Near,1.88,559,Yes,,No,City,City,1968,2327,1633,Street,1,2,,Colonial,6.18,15.15,No,5,2462,355841,317675,149236,1540,2450,1569,2781,397,72697,90757,,,Yes,,No,,,,,No,No,36.955975,-75.763683,Route,9541,458201,Downsizing,,Yes,Priya Sharma,4.14
"44142 Burton Ridge Savannahland, CT 21623","44142 Burton Ridge Savannahland, CT 21623",New,Cancelled,Internal,Dallas,,Minimal Flood,44142 Burton Ridge,Savannahland,CT,21623,Townhouse,Near,Far,1.51,1377,Yes,Yes,No,Well,Septic,1974,906,4818,Street,2,1,,Colonial,11.2,5.29,,5,866,344228,318074,287919,1060,2304,1584,1402,337,87220,3848,,,No,,Yes,Yes,No,No,Yes,Yes,No,37.344941,-92.466091,Lodge,5481,307174,Job Transfer,Yes,,Jessica Lin,7.33
"85235 Loretta Turnpike South Josephmouth, CT 94275","85235 Loretta Turnpike South Josephmouth, CT 94275",Closed,Pending,MLS,Florida,No,Minimal Flood,85235 Loretta Turnpike,South Josephmouth,CT,94275,Townhouse,Far,,1.12,92,Yes,No,Yes,,,1969,3473,8115,Street,2,1,Yes,Colonial,6.35,19.38,No,5,1051,404766,521506,488298,2128,3712,1349,1674,14,56825,1452,,No,No,,,,,No,No,,No,39.643654,-100.46449,Spring,5900,108109,,,No,Luis Garcia,8.24
"09352 Chad Terrace Apt. 226 Catherineside, NY 81258","09352 Chad Terrace Apt. 226 Catherineside, NY 81258",Offered,Pending,MLS,Dallas,Yes,Flood Zone,09352 Chad Terrace Apt. 226,Catherineside,NY,81258,SFR,Far,,3.38,484,Yes,Yes,,Well,City,2004,2563,4575,Street,6,1,Yes,Split,7.14,6.69,,4,880,460993,421968,569996,3314,1633,915,2702,172,77891,55701,Yes,No,No,Yes,No,Yes,,Yes,No,,Yes,35.269392,-115.53827,Glen,3140,522861,Job Transfer,Yes,Yes,David Thompson,7.71
"4799 Stuart Points Apt. 953 Kingview, MN 22148","4799 Stuart Points Apt. 953 Kingview, MN 22148",Offered,Closed,Opendoor,Tampa,No,Minimal Flood,4799 Stuart Points Apt. 953,Kingview,MN,22148,Duplex,,Near,2.04,565,No,No,,,Septic,2019,3423,7554,Garage,6,2,Yes,Split,3.75,10.93,,1,1051,179504,192520,258997,1963,3457,787,2792,467,33524,45501,No,,Yes,,Yes,No,No,No,Yes,Yes,Yes,37.563964,-109.476804,Grove,7304,437338,Job Transfer,No,,Samantha Pierce,8.18
"9431 Walker Views Apt. 144 North Jamie, KY 67143","9431 Walker Views Apt. 144 North Jamie, KY 67143",Accepted Offer,Cancelled,MLS,Dallas,No,Minimal Flood,9431 Walker Views Apt. 144,North Jamie,KY,67143,Condo,Far,,2.12,1712,,,,Well,,1972,597,3763,,1,1,No,Ranch,8.22,5.72,No,4,3090,290776,371160,300486,2028,2360,1932,1207,206,44142,86869,No,Yes,Yes,,Yes,No,,No,,Yes,No,37.462867,-79.800877,Estate,7275,470850,Investor Sale,No,Yes,Sophia Williams,5.72
"4471 Ramirez Mill Toddchester, CO 24527","4471 Ramirez Mill Toddchester, CO 24527",New,Pending,Bulk,Tampa,Yes,Minimal Flood,4471 Ramirez Mill,Toddchester,CO,24527,Condo,Far,,1.84,180,,Yes,Yes,,Septic,1983,1189,3892,Street,5,1,,Colonial,8.62,7.93,No,5,1999,176890,116958,577817,2576,3541,1807,2449,266,13945,23526,No,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,37.609048,-77.730322,Estates,5985,451924,Downsizing,,No,Samantha Pierce,7.59
"51791 Walter Ridges Whitetown, RI 67322","51791 Walter Ridges Whitetown, RI 67322",Cancelled,Cancelled,MLS,Dallas,No,Minimal Flood,51791 Walter Ridges,Whitetown,RI,67322,Condo,Far,,1.96,38,No,,No,Well,,1987,2109,1806,Street,5,3,,Ranch,9.38,17.64,,2,1819,162067,312808,476780,1555,3445,1696,2203,245,86667,17200,Yes,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,,39.611389,-81.783423,Highway,6711,353087,,No,,Priya Sharma,5.23
"213 Adkins Ways Apt. 436 Susanborough, WV 45406","213 Adkins Ways Apt. 436 Susanborough, WV 45406",Accepted Offer,Available,Internal,Tampa,Yes,Minimal Flood,213 Adkins Ways Apt. 436,Susanborough,WV,45406,Condo,Far,,3.23,666,Yes,Yes,Yes,Well,City,1966,1596,8888,Street,3,3,No,Ranch,5.88,7.99,Yes,2,2021,224443,420562,359479,2819,2214,1520,3345,481,93980,1856,Yes,Yes,,Yes,No,No,No,No,,Yes,Yes,41.367154,-101.374799,Shoals,8312,475610,Job Transfer,,Yes,Michael Chen,9.09
"530 Michael Mountain Suite 616 Floresfort, SD 86514","530 Michael Mountain Suite 616 Floresfort, SD 86514",Cancelled,Pending,Bulk,Florida,Yes,Flood Zone,530 Michael Mountain Suite 616,Floresfort,SD,86514,Duplex,Near,,1.41,275,Yes,,Yes,City,,1975,679,3196,Driveway,4,2,No,Split,3.56,16.54,No,4,1274,171963,155223,368926,3088,2074,1846,2252,231,20863,42553,No,,No,,Yes,,,Yes,,Yes,No,41.924171,-115.763083,Wells,2504,289383,Investor Sale,No,,Luis Garcia,6.14
"63576 John Cape Apt. 142 South Kristinfurt, KY 85897","63576 John Cape Apt. 142 South Kristinfurt, KY 85897",Accepted Offer,Available,MLS,Tampa,Yes,,63576 John Cape Apt. 142,South Kristinfurt,KY,85897,SFR,Near,Far,2.03,1892,,Yes,Yes,Well,Septic,1979,3189,2663,Street,4,4,Yes,,5.87,5.82,,1,1627,240461,307024,139171,3273,2072,898,2611,285,24082,85586,No,No,Yes,,Yes,No,Yes,No,No,,No,36.089935,-82.604253,Ferry,4917,587021,Downsizing,No,No,Sophia Williams,6.63
"67699 Rebecca Ferry Apt. 867 Lake Marie, AK 94508","67699 Rebecca Ferry Apt. 867 Lake Marie, AK 94508",Cancelled,Closed,Bulk,Tampa,No,,67699 Rebecca Ferry Apt. 867,Lake Marie,AK,94508,Duplex,,,2.73,1858,Yes,No,,Well,City,2016,1978,6800,Street,3,1,No,,8.44,5.81,No,2,1997,405097,330492,478120,922,2137,1384,1160,30,34810,26530,,No,Yes,Yes,No,,,Yes,No,Yes,Yes,40.325961,-117.436341,Plaza,5014,484413,Downsizing,Yes,No,Sophia Williams,6.8
"712 Tran Ford Henryville, AZ 43572","712 Tran Ford Henryville, AZ 43572",Offered,Available,MLS,Chicago,Yes,,712 Tran Ford,Henryville,AZ,43572,Townhouse,Near,Near,3.16,566,No,,No,Well,,2020,3318,7694,Street,2,3,Yes,,6.73,12.23,No,3,1350,193612,191181,475538,3222,1623,952,2189,266,9698,97829,Yes,,,No,,,No,Yes,,Yes,Yes,41.685781,-109.672634,Street,7361,153298,Downsizing,No,,Sophia Williams,7.88
"90933 Woods Lights Careyport, NY 68014","90933 Woods Lights Careyport, NY 68014",Closed,Closed,Internal,Tampa,Yes,Minimal Flood,90933 Woods Lights,Careyport,NY,68014,SFR,Far,,1.82,1229,No,No,Yes,City,,1996,2003,1014,,2,1,Yes,Split,5.38,16,No,3,1522,160413,98271,265962,2878,2122,795,2941,61,25618,41232,,,No,,No,,Yes,No,No,No,,41.094573,-99.465777,Plaza,8058,102787,Investor Sale,No,Yes,Jason Miller,5.91
"406 Micheal Plaza Suite 150 Lake Robert, MS 61538","406 Micheal Plaza Suite 150 Lake Robert, MS 61538",Accepted Offer,Available,MLS,Atlanta,,Flood Zone,406 Micheal Plaza Suite 150,Lake Robert,MS,61538,Townhouse,Far,Far,2.41,1760,,Yes,Yes,Well,Septic,2019,3161,5895,Driveway,2,4,,Split,7.9,12.81,No,3,2814,286162,296890,293367,3397,3660,1777,2952,53,66855,5381,No,Yes,Yes,No,,No,,No,Yes,No,Yes,37.492864,-111.753108,Ridges,8471,171355,Investor Sale,,,Amit Kumar,4.07
"2719 Brian Hills Apt. 073 Mccallstad, AZ 21954","2719 Brian Hills Apt. 073 Mccallstad, AZ 21954",Accepted Offer,Pending,Broker,Tampa,Yes,Flood Zone,2719 Brian Hills Apt. 073,Mccallstad,AZ,21954,Townhouse,Far,Far,1.51,1168,,Yes,No,City,Septic,1996,1764,9364,,4,3,No,Colonial,11,13.15,Yes,3,3383,319295,192784,144860,2085,2073,1949,2160,364,79570,94125,,,Yes,Yes,,No,No,Yes,Yes,No,Yes,35.329373,-115.790898,Fort,6068,517773,Downsizing,No,Yes,Sophia Williams,5.61
"7074 Alexander Viaduct Robinshire, KS 98889","7074 Alexander Viaduct Robinshire, KS 98889",Closed,Closed,Internal,Chicago,Yes,,7074 Alexander Viaduct,Robinshire,KS,98889,Townhouse,,Near,3.32,870,No,Yes,No,,City,2014,714,6701,Garage,5,2,No,Ranch,9.55,14.15,,2,1710,373247,465698,286836,1667,3821,1984,2897,250,54621,41355,Yes,No,,Yes,,,No,Yes,No,No,,37.456181,-85.839597,Ville,7948,227113,Investor Sale,No,,Jessica Lin,7.98
"055 Daniel Stream Suite 239 Williamsfort, NC 75969","055 Daniel Stream Suite 239 Williamsfort, NC 75969",Closed,Pending,Opendoor,Tampa,,Flood Zone,055 Daniel Stream Suite 239,Williamsfort,NC,75969,SFR,,,2.96,745,Yes,,Yes,City,City,2022,1665,3526,Street,4,1,No,Colonial,6.86,13,,4,2532,328038,374202,396148,1073,1005,1474,2085,314,32109,16928,No,,,,Yes,,Yes,Yes,No,Yes,,38.309669,-78.116132,Skyway,1710,118085,,,,Amit Kumar,8.08
"13002 Ashley Port Apt. 387 Bryanberg, IA 91002","13002 Ashley Port Apt. 387 Bryanberg, IA 91002",Accepted Offer,Available,MLS,Dallas,No,,13002 Ashley Port Apt. 387,Bryanberg,IA,91002,SFR,Far,Far,1.02,1298,,No,,,Septic,1976,2728,1220,,2,2,Yes,,5,7.01,Yes,4,3002,404262,249966,516530,3081,3322,708,1914,411,15980,89830,Yes,,No,,,No,,Yes,Yes,No,No,37.163963,-96.637485,Pike,5391,527070,Investor Sale,Yes,No,Amit Kumar,5.76
"3539 Blake Lock Apt. 453 Blakefurt, KY 61823","3539 Blake Lock Apt. 453 Blakefurt, KY 61823",Cancelled,Pending,Bulk,Dallas,No,Flood Zone,3539 Blake Lock Apt. 453,Blakefurt,KY,61823,SFR,Near,,3.21,1247,,,,Well,Septic,1950,2164,9984,,1,4,No,Colonial,7.68,12.03,No,4,1272,120058,446749,297548,1537,2317,1480,2380,337,28459,99774,,,Yes,No,,Yes,No,,Yes,,Yes,38.835894,-99.445022,Viaduct,3861,429128,Downsizing,Yes,Yes,Jessica Lin,8.38
"926 Rogers Fork Lake Thomasview, VA 50900","926 Rogers Fork Lake Thomasview, VA 50900",Closed,Closed,Auction.com,Atlanta,No,,926 Rogers Fork,Lake Thomasview,VA,50900,Condo,,Near,2.58,66,Yes,No,,Well,,2022,898,1288,Driveway,4,2,,,6.39,13.29,No,2,1848,197700,262145,348137,1791,3006,883,2786,415,76771,79827,,,Yes,,,,,Yes,,,No,35.997542,-79.275448,Path,6259,576941,Investor Sale,Yes,Yes,Amit Kumar,9.1
"6500 Gordon Parkways Apt. 415 Cabreraton, NC 58005","6500 Gordon Parkways Apt. 415 Cabreraton, NC 58005",Cancelled,Cancelled,Auction.com,Atlanta,,Flood Zone,6500 Gordon Parkways Apt. 415,Cabreraton,NC,58005,Condo,Far,,1.36,1885,,No,Yes,Well,,2012,2157,7897,Garage,4,1,,Split,4.12,15.48,No,3,2250,301506,111825,593411,1375,1716,1697,3050,168,47447,47273,Yes,Yes,,Yes,No,,Yes,Yes,No,,,40.010737,-96.958308,Canyon,5289,587531,,No,,Amit Kumar,8.11
"403 Katie Ridges Suite 454 Lake Christineton, IA 95887","403 Katie Ridges Suite 454 Lake Christineton, IA 95887",Offered,Available,MLS,Dallas,Yes,Flood Zone,403 Katie Ridges Suite 454,Lake Christineton,IA,95887,SFR,,,2.73,1828,Yes,Yes,No,Well,City,2008,1646,8170,,4,4,,Colonial,8.58,7.77,,4,2372,306426,278933,332331,1541,2254,732,1450,61,61841,18243,,No,No,,,,Yes,Yes,Yes,,,35.433651,-87.117107,Hollow,3667,138890,Investor Sale,,,Michael Chen,8.28
"5677 Meyers Square Suite 777 Mariaberg, SD 08661","5677 Meyers Square Suite 777 Mariaberg, SD 08661",Cancelled,Pending,MLS,Chicago,No,,5677 Meyers Square Suite 777,Mariaberg,SD,8661,Townhouse,Far,,2.36,296,,,,,City,1986,1529,9355,Driveway,4,2,No,Split,7.62,11.13,Yes,5,2138,248775,369301,127186,1662,1208,1773,3345,489,2249,19051,No,,No,Yes,No,No,No,Yes,Yes,,No,35.303264,-98.183498,Extensions,7435,489688,Investor Sale,,Yes,Luis Garcia,6.38
"45533 George Row New Shelleyshire, MP 58471","45533 George Row New Shelleyshire, MP 58471",Accepted Offer,Closed,Bulk,Tampa,No,Minimal Flood,45533 George Row,New Shelleyshire,MP,58471,Duplex,Far,Near,1.19,773,Yes,,Yes,Well,City,1952,3442,7276,Garage,2,3,Yes,Ranch,11.12,5.71,Yes,3,2780,276458,337304,533608,2004,1651,848,3156,498,46055,22357,Yes,,No,Yes,,No,,,No,Yes,Yes,33.050593,-91.322082,Station,3116,312808,,Yes,No,Sophia Williams,6.19
"0094 Aaron Ramp Davidtown, MA 56504","0094 Aaron Ramp Davidtown, MA 56504",Cancelled,Closed,Auction.com,Tampa,No,Minimal Flood,0094 Aaron Ramp,Davidtown,MA,56504,Condo,,,3.47,1544,No,No,No,City,Septic,1975,2455,6660,Driveway,2,3,,Ranch,4.31,7.32,,1,2223,282370,287574,561570,2827,2057,1801,3385,338,52010,92227,,,,,,Yes,No,No,Yes,No,,38.899034,-104.252501,Inlet,4870,533217,,Yes,,Luis Garcia,6.28
"450 Teresa Ferry Lake Juanport, SC 33889","450 Teresa Ferry Lake Juanport, SC 33889",Accepted Offer,Pending,Bulk,Florida,Yes,Flood Zone,450 Teresa Ferry,Lake Juanport,SC,33889,Townhouse,,Near,2.96,1415,No,Yes,,,Septic,1984,2103,1888,,6,4,Yes,Split,3.6,10.71,No,2,1786,103321,327789,599909,2348,2676,1274,1311,114,27119,18919,,,Yes,,No,No,Yes,Yes,No,,No,36.312587,-97.612539,Route,9404,364385,,No,No,Samantha Pierce,3.44
"97537 Welch Bridge North Nathanburgh, GA 43470","97537 Welch Bridge North Nathanburgh, GA 43470",Cancelled,Available,MLS,Dallas,Yes,Flood Zone,97537 Welch Bridge,North Nathanburgh,GA,43470,Townhouse,Far,Far,2.91,1454,No,Yes,,Well,City,2003,1253,8555,Garage,1,3,,Split,8.37,10.19,,4,1534,185762,321296,116576,1536,1890,969,2713,188,90785,77751,,Yes,No,Yes,,Yes,No,No,No,,Yes,37.089165,-87.388225,Ville,8850,508206,Downsizing,No,,Samantha Pierce,3.76
"8987 Abbott Street Suite 096 Markstad, IN 79942","8987 Abbott Street Suite 096 Markstad, IN 79942",Cancelled,Cancelled,MLS,Atlanta,Yes,,8987 Abbott Street Suite 096,Markstad,IN,79942,Duplex,Near,,2.54,1086,Yes,No,Yes,City,,2015,987,3000,Driveway,2,1,No,Colonial,10.66,15.94,,2,3475,104375,167057,333419,3053,1232,1920,2347,58,19914,6889,No,,No,Yes,,Yes,,Yes,Yes,,,41.881801,-106.764134,Street,9806,144119,Investor Sale,Yes,Yes,Emily Patel,6.26
"3979 Latasha Islands Suite 274 South Elizabeth, AR 24813","3979 Latasha Islands Suite 274 South Elizabeth, AR 24813",Accepted Offer,Pending,Opendoor,Dallas,,Flood Zone,3979 Latasha Islands Suite 274,South Elizabeth,AR,24813,Townhouse,Near,,1.72,359,,Yes,No,City,Septic,1967,2543,5864,Driveway,5,2,No,Colonial,8.06,10.34,,3,1003,301388,459097,432539,2404,3646,1068,2010,323,76662,29871,,,,Yes,No,,,No,No,Yes,No,38.318524,-113.788664,Mountain,8439,300748,Investor Sale,Yes,Yes,Samantha Pierce,3.11
"8031 Jonathan Plain Suite 487 Leontown, OH 12724","8031 Jonathan Plain Suite 487 Leontown, OH 12724",Reviewed,Cancelled,Bulk,Florida,,Minimal Flood,8031 Jonathan Plain Suite 487,Leontown,OH,12724,Duplex,,Far,2.06,1187,No,No,Yes,City,,2005,2806,7457,,5,1,Yes,Ranch,4.48,16.86,No,1,1883,169450,323190,261398,2539,2591,1905,3024,44,24342,25536,,No,,,No,No,,No,Yes,No,No,40.608972,-73.852426,Ford,3386,576758,Investor Sale,No,No,Emily Patel,5.9
"7219 Brandon Ridge Apt. 687 North Nancy, FL 83196","7219 Brandon Ridge Apt. 687 North Nancy, FL 83196",Cancelled,Cancelled,Bulk,Tampa,Yes,Flood Zone,7219 Brandon Ridge Apt. 687,North Nancy,FL,83196,Condo,Near,,1.72,1815,,Yes,,,,1988,934,6623,Street,3,2,No,Ranch,9.34,13.71,No,4,2513,492939,505875,244749,1598,1986,894,3194,299,18418,90874,,,Yes,No,,,Yes,,Yes,Yes,No,37.662591,-88.475917,Island,3236,255590,Investor Sale,No,Yes,Jessica Lin,6.82
"1829 Aaron Manors Suite 035 Andrewsville, SD 74251","1829 Aaron Manors Suite 035 Andrewsville, SD 74251",New,Closed,Opendoor,Tampa,No,Minimal Flood,1829 Aaron Manors Suite 035,Andrewsville,SD,74251,Townhouse,Near,,1.57,1331,,No,No,,,1976,1333,7188,Driveway,1,1,,Ranch,9.72,12.87,Yes,4,2938,165747,334487,445163,3321,3607,1613,2711,74,8653,65957,No,Yes,,No,Yes,,,No,No,No,,36.264169,-105.735448,Island,8800,520571,Downsizing,No,,Jason Miller,6.45
"904 Moore Garden Suite 290 Port Courtneymouth, AL 72590","904 Moore Garden Suite 290 Port Courtneymouth, AL 72590",Accepted Offer,Available,Bulk,Florida,Yes,Minimal Flood,904 Moore Garden Suite 290,Port Courtneymouth,AL,72590,Duplex,Near,Far,3.01,1656,,No,Yes,,,1998,3414,9207,Driveway,1,4,No,Colonial,4.62,6.1,Yes,4,3045,149474,147648,461192,923,3937,1086,1419,67,50512,94026,,,No,,No,Yes,No,,No,No,,41.718716,-94.99095,Meadows,9903,489968,Downsizing,,Yes,Sophia Williams,7.42
